shipper_id,shipper_name,shipper_contact_details
3648,Avaveo,866-62-6025
3649,Voonder,603-50-4595
3660,Tagopia,420-24-4101
3676,Meetz,306-07-7616
3687,Realmix,159-95-4995
3691,Layo,775-69-0274
3692,Brightbean,700-82-9373
3693,Innojam,391-18-0448
3696,Vitz,347-99-2708
3699,Linkbridge,504-57-9924
3700,Aivee,575-74-5075
3705,Devcast,832-35-5973
3708,Twimbo,642-85-8473
3712,Ntags,432-69-4266
3713,Shuffledrive,162-78-0346
3714,Zava,503-12-3193
3716,Wordtune,460-78-3058
3721,Divavu,311-70-1584
3726,Edgeblab,279-37-6011
3731,Digitube,132-47-6371
3732,Oyoyo,607-67-9078
3733,Twitterwire,530-82-7798
3736,Tagfeed,615-16-7269
3741,Quamba,539-07-0988
3749,Brightdog,370-66-4574
3750,Miboo,533-70-5972
3753,Trunyx,794-31-5819
3755,Oloo,859-96-9189
3762,Skipstorm,181-41-7940
3766,InnoZ,331-64-7016
3767,Mycat,469-63-4330
3774,Abata,275-55-1787
3776,Eadel,199-74-0486
3778,Pixonyx,581-55-7507
3780,Zoombeat,395-97-1152
3782,Blogtags,473-29-9975
3783,Skipfire,562-45-7815
3793,Centizu,337-51-9337
3795,Blogtags,792-59-1635
3800,Photofeed,806-33-9152
3801,Quinu,149-15-6274
3804,Cogibox,163-82-3073
3805,Agivu,447-98-3395
3808,Tambee,502-87-4013
3809,Quaxo,347-52-4406
3810,Brainlounge,367-08-2475
3811,Skiptube,829-46-6307
3813,Wikivu,438-17-7753
3816,Tagopia,650-78-4303
3817,Jamia,490-90-1388
3819,Eabox,454-20-1364
3823,Fatz,523-80-9887
3825,Meezzy,891-42-5567
3826,Skyvu,717-19-7839
3831,Fivebridge,185-75-2580
3834,Roombo,479-97-2408
3835,Roombo,709-70-9648
3837,Gabspot,431-91-7448
3842,Yodoo,572-69-8273
3843,Kayveo,862-38-4615
3845,Feedfish,146-56-0855
3847,Divavu,445-13-1357
3848,Mita,520-29-6917
3850,Browsecat,157-75-3159
3855,Roodel,756-09-5350
3857,Jatri,711-84-4357
3860,Lazzy,481-91-2770
3861,Skyba,680-14-7820
3862,Kazu,356-08-4598
3868,Flipstorm,413-89-0621
3869,Kazu,332-14-6264
3870,Dazzlesphere,850-34-3773
3871,Linkbuzz,863-38-3008
3874,Skimia,243-86-1776
3878,Zoombeat,874-28-5123
3879,Buzzster,234-06-5587
3885,Roombo,652-19-2433
3886,Kwimbee,674-81-8160
3887,Photojam,154-42-3936
3888,Einti,828-68-8205
3893,Fadeo,432-94-2747
3906,Skyble,237-88-3514
3911,Jabbercube,496-50-4716
3914,Realpoint,569-81-2051
3921,Avaveo,204-59-9604
3926,Quamba,576-86-4243
3927,Livepath,748-05-8021
3929,Livefish,755-67-7009
3935,Tekfly,540-87-0867
3936,Rooxo,184-89-9088
3940,Camido,410-38-2403
3942,Divavu,202-80-8923
3946,Ainyx,737-56-6848
3949,Zoonder,218-49-8679
3950,Rhynyx,389-86-5501
3951,Skidoo,393-49-1434
3953,Gigashots,826-37-9051
3957,Babbleopia,361-46-9281
3959,Avamm,182-49-9647
3962,Twitterwire,368-25-9482
3965,Skinte,617-91-5193
3966,Voolith,545-10-3828
3971,Devpoint,699-53-1590
3973,Eadel,807-93-0024
3975,Janyx,898-97-6903
3977,Riffpath,377-54-2757
3978,Skidoo,251-58-6250
3981,Topicstorm,502-56-3936
3983,Topdrive,383-56-0356
3984,Wordtune,171-31-0268
3985,Innotype,682-59-2419
3986,Zava,362-62-8480
3987,Nlounge,141-87-7188
3988,Tagtune,835-49-5284
3990,Demizz,890-35-5664
3993,Skippad,433-14-4266
3994,Meevee,413-57-3046
3998,Kare,849-23-6788
